year,nh_land,nh_ocean,deep_nh,sh_land,sh_ocean,deep_sh,nh,sh
2089,2.4797656870420606,2.069185521284863,0.11382882837057844,2.4535457829131513,2.0178864832601566,0.24335920857112436,2.230954106593199,2.1006617501942255
2090,2.480670275138286,2.070955201063615,0.11971822548595872,2.454459306157228,2.019673650069587,0.24870423031471212,2.2323829402490354,2.102282924726239
2091,2.481572951165716,2.0727211402981736,0.12559521428333462,2.4553709783687907,2.0214571959252567,0.25403853544931,2.2338087537799853,2.1039008145895286
2092,2.482473720290037,2.0744833490742334,0.13145982087288752,2.456280806500684,2.0232371343776303,0.2593621453574554,2.23523155533326,2.1055154320810106
2093,2.483372587456577,2.0762418370501057,0.13731207131589787,2.4571887969485204,2.025013477895699,0.26467508139644413,2.2366513527102554,2.107126788515735
2094,2.484269557429355,2.077996613532424,0.14315199162372194,2.4580949556428564,2.026786238045862,0.26997736489542795,2.2380681534278146,2.108734894389291
2095,2.4851646348229477,2.0797476875379304,0.1489796077569789,2.458999288125927,2.028555425640827,0.2752690171530086,2.239481964768227,2.1103397595129962
2096,2.4860578241284834,2.081495067843874,0.15479494562490884,2.4599017996155164,2.0303210508635665,0.28055005943525174,2.2408927938200103,2.111941393126437
2097,2.486949129734851,2.083238763029133,0.16059803108486914,2.4608024950581306,2.032083123370496,0.285820512974048,2.2423006475111857,2.113539803991147
2098,2.48783855594601,2.084978781507774,0.16638888994194598,2.4617013791732543,2.033841652377369,0.2910803989657624,2.2437055326364392,2.115135000468587
2099,2.4887261069951103,2.086715131556429,0.1721675479486572,2.4625984564902015,2.0355966467307747,0.2963297385701249,2.2451074558792694,2.116726990585066
2100,2.489611787056016,2.088447821336638,0.17793403080473139,2.4634937313787786,2.0373481149676564,0.30156855290932044,2.246506423830073,2.11831578208577
2101,2.490495600252705,2.090176858913078,0.18368836415694859,2.4643872080748217,2.039096065364857,0.3067968630672456,2.247902443000891,2.1199013824797506
2102,2.4913775506669515,2.0919022522684494,0.1894305735990312,2.4652788907014496,2.0408405059803703,0.3120146900889047,2.2492955198374593,2.1214837990773754
2103,2.492257642344582,2.093624009315614,0.19516068467157477,2.4661687832867605,2.0425814446876833,0.31722205497992084,2.2506856607290278,2.123063039021508
2104,2.4931358793005907,2.0953421379075117,0.2008787228620138,2.4670568897785614,2.0443188892043547,0.322418978706143,2.2520728720163845,2.124639109313454
2105,2.4940122655233177,2.0970566458452566,0.2065847136046138,2.4679432140566395,2.046052847115833,0.32760548219333196,2.253457159998413,2.1262120168345864
2106,2.4948868049778516,2.098767540884741,0.2122786822804851,2.4688277599429624,2.0477833258952503,0.3327815863269149,2.254838530937427,2.1277817683643154
2107,2.495759501608819,2.100474830742037,0.21796065421761554,2.4697105312101906,2.0495103329199376,0.33794731195179417,2.2562169910635492,2.1293483705950855
2108,2.4966303593426544,2.1021785230978067,0.22363065469091709,2.4705915315887506,2.0512338754851607,0.34310267987220033,2.2575925465782767,2.130911830144843
2109,2.497499382089459,2.103878625600898,0.2292887089222842,2.4714707647727354,2.0529539608155605,0.34824771085158696,2.2589652036573913,2.132472153567424
2110,2.4983665737445238,2.105575145871303,0.234934842080663,2.4723482344248087,2.054670596074676,0.353382425612554,2.260334968453352,2.1340293473612015
2111,2.499231938189568,2.1072680915025566,0.24056907928212698,2.473223944180299,2.0563837883728873,0.3585068448368006,2.261701847097239,2.1355834179762954
2112,2.5000954792937535,2.1089574700637064,0.24619144558995948,2.4740978976506005,2.0580935447740187,0.3636209891650968,2.263065845700345,2.1371343718205695
